,image_name,intersection,ratio,width,height
0,M_P_m1_715_00141,6075,0.016875,600,600
0,M_P_h1_1024_00026,12600,0.035,600,600
0,M_HS_h1_1023_03087,7236,0.20354430379746835,150,237
0,M_HA_m2_821_00213,0,0.0,613,434
0,M_HS_h2_1113_00925,5466,0.4583647798742138,75,159
0,M_HS_m3_922_01751,5460,0.21875,130,192
0,M_HS_m1_724_00407,3003,0.4498876404494382,75,89
0,M_HS_h2_1125_01031,18150,0.4745098039215686,150,255
0,M_HS_e5_521_00497,450141,1.9782069874752801,150,1517
0,M_HS_m1_711_01428,12435,0.41868686868686866,150,198
0,M_HS_m1_711_03831,24807,1.9230232558139535,150,86
0,M_HS_h2_1128_00920,22809,0.6956932837186603,97,338
0,M_HS_h3_1231_00224,5460,0.18571428571428572,150,196
0,M_HS_m1_721_01190,30942,1.0688082901554403,150,193
0,M_HS_m3_921_01907,6606,0.4027557614925009,118,139
0,M_HS_m2_821_01837,2160,0.16941176470588235,150,85
0,M_HS_m3_922_00324,16896,0.6953086419753086,150,162
0,M_HS_h1_1024_00523,6897,0.21287037037037038,150,216
0,M_HS_e4_413_00344,727959,0.5405161180143824,521,2585
0,M_HS_h1_1023_00718,16080,0.6916129032258065,150,155
0,M_HS_e6_623_00214,4488,0.1981456953642384,150,151
0,M_HA_h1_1013_00016,1374,0.01086071566899321,217,583
0,M_HA_m3_921_00057,20310,0.08015723605536414,599,423
0,M_HS_m2_821_00810,4524,0.18732919254658384,150,161
0,M_HS_m1_711_03171,3195,0.749296435272045,82,52
0,M_HS_m3_922_01458,18156,0.9420921544209215,132,146
0,M_HS_h1_1021_01923,14496,0.202710072576247,197,363
0,M_HS_h1_1021_01923,0,0.0,197,363
0,M_P_m1_721_00426,63801,0.177225,600,600
0,M_HS_h3_1217_00407,0,0.0,187,800
0,M_HS_h3_1213_01305,1725,0.04291044776119403,150,268
0,M_HS_e5_514_00223,1710,0.027338129496402876,150,417
0,M_HA_m3_924_00027,0,0.0,1200,848
0,M_HS_e4_414_00552,7044,0.5524705882352942,150,85
0,M_HA_h2_1125_00018,0,0.0,599,449
0,M_P_m1_723_00641,1836,0.0051,600,600
0,M_HS_h2_1125_02534,61188,1.303258785942492,150,313
0,M_P_m1_721_00522,82482,0.22911666666666666,600,600
0,M_HS_h2_1113_01756,5544,0.21669793621013134,123,208
0,M_HS_h3_1215_01216,10170,0.24301075268817204,150,279
0,M_HS_h2_1125_00737,9450,1.2159032424086464,67,116
0,M_HS_h2_1125_00863,39753,0.7154195011337868,126,441
0,M_HA_m1_712_00013,10692,0.037391413823492384,676,423
0,M_HS_h1_1021_01868,12555,0.3634389926183239,105,329
0,M_P_m2_814_00010,7644,0.021233333333333333,600,600
0,M_HA_m2_821_00064,0,0.0,613,460
0,M_P_m1_721_00508,10815,0.030041666666666668,600,600
0,M_HS_m2_814_00757,8049,0.26564356435643566,150,202
0,M_HS_m2_822_00394,16836,0.36206451612903223,150,310
0,M_P_m1_712_00083,60720,0.2024,500,600
0,M_HA_m3_921_00123,28797,0.04659444853446811,935,661
0,M_HS_h3_1234_00364,2802,1.705416920267803,31,53
0,M_HS_m1_712_03225,4080,0.13103381828692554,97,321
